X,CH1,Start,Increment,
Sequence,Volt,-3.000000e+00,5.000000e-03
0,1.60e-03,
1,-1.00e-01,
2,-1.02e-01,
3,8.00e-04,
4,-1.02e-01,
5,-9.92e-02,
6,-1.02e-01,
7,-9.92e-02,
8,-1.02e-01,
9,7.76e-02,
10,7.44e-02,
11,6.64e-02,
12,6.88e-02,
13,6.00e-02,
14,6.40e-02,
15,5.76e-02,
16,6.08e-02,
17,5.36e-02,
18,5.68e-02,
19,4.88e-02,
20,5.28e-02,
21,4.48e-02,
22,4.96e-02,
23,4.08e-02,
24,4.56e-02,
25,4.08e-02,
26,4.24e-02,
27,3.60e-02,
28,3.92e-02,
29,3.44e-02,
30,3.60e-02,
31,2.88e-02,
32,3.36e-02,
33,2.88e-02,
34,3.28e-02,
35,2.72e-02,
36,2.24e-02,
37,2.96e-02,
38,2.72e-02,
39,2.24e-02,
40,2.64e-02,
41,2.08e-02,
42,2.40e-02,
43,1.76e-02,
44,1.68e-02,
45,2.32e-02,
46,1.44e-02,
47,2.08e-02,
48,1.92e-02,
49,1.44e-02,
50,1.20e-02,
51,1.76e-02,
52,1.60e-02,
53,9.60e-03,
54,1.76e-02,
55,1.04e-02,
56,1.44e-02,
57,9.60e-03,
58,1.36e-02,
59,1.04e-02,
60,1.20e-02,
61,7.20e-03,
62,1.12e-02,
63,4.80e-03,
64,4.80e-03,
65,1.12e-02,
66,6.40e-03,
67,1.12e-02,
68,9.60e-03,
69,6.40e-03,
70,3.20e-03,
71,9.60e-03,
72,8.80e-03,
73,4.80e-03,
74,7.20e-03,
75,4.00e-03,
76,7.20e-03,
77,3.20e-03,
78,6.40e-03,
79,3.20e-03,
80,6.40e-03,
81,1.60e-03,
82,5.60e-03,
83,2.40e-03,
84,7.20e-03,
85,2.40e-03,
86,8.00e-04,
87,6.40e-03,
88,5.60e-03,
89,2.40e-03,
90,4.80e-03,
91,-1.60e-03,
92,4.80e-03,
93,-3.20e-03,
94,1.60e-03,
95,4.80e-03,
96,-2.40e-03,
97,5.60e-03,
98,4.00e-03,
99,8.00e-04,
100,4.80e-03,
101,0.00e+00,
102,4.00e-03,
103,-1.60e-03,
104,4.00e-03,
105,-1.60e-03,
106,-3.20e-03,
107,4.00e-03,
108,3.20e-03,
109,-2.40e-03,
110,3.20e-03,
111,-4.00e-03,
112,2.40e-03,
113,-2.40e-03,
114,3.20e-03,
115,-2.40e-03,
116,-5.60e-03,
117,2.40e-03,
118,2.40e-03,
119,-1.60e-03,
120,-1.60e-03,
121,2.40e-03,
122,2.40e-03,
123,-4.80e-03,
124,-2.40e-03,
125,2.40e-03,
126,-4.80e-03,
127,2.40e-03,
128,1.60e-03,
129,-8.00e-04,
130,1.60e-03,
131,-3.20e-03,
132,1.60e-03,
133,-1.60e-03,
134,-8.00e-04,
135,1.60e-03,
136,-4.00e-03,
137,4.00e-03,
138,1.60e-03,
139,-4.00e-03,
140,-5.60e-03,
141,5.60e-03,
142,3.20e-03,
143,6.40e-03,
144,4.00e-03,
145,7.20e-03,
146,7.20e-03,
147,2.40e-03,
148,4.80e-03,
149,8.00e-03,
150,4.00e-03,
151,8.80e-03,
152,0.00e+00,
153,7.20e-03,
154,8.00e-04,
155,7.20e-03,
156,-1.60e-03,
157,6.40e-03,
158,7.20e-03,
159,-8.00e-04,
160,2.40e-03,
161,7.20e-03,
162,5.60e-03,
163,8.00e-04,
164,4.80e-03,
165,-1.60e-03,
166,5.60e-03,
167,-8.00e-04,
168,4.80e-03,
169,1.60e-03,
170,0.00e+00,
171,4.80e-03,
172,4.80e-03,
173,8.00e-04,
174,0.00e+00,
175,4.00e-03,
176,-1.60e-03,
177,4.00e-03,
178,4.00e-03,
179,0.00e+00,
180,5.60e-03,
181,0.00e+00,
182,4.00e-03,
183,0.00e+00,
184,4.80e-03,
185,-8.00e-04,
186,-4.00e-03,
187,3.20e-03,
188,2.40e-03,
189,0.00e+00,
190,2.40e-03,
191,-3.20e-03,
192,2.40e-03,
193,-1.60e-03,
194,-1.60e-03,
195,2.40e-03,
196,-2.40e-03,
197,2.40e-03,
198,2.40e-03,
199,-8.00e-04,
200,-3.20e-03,
201,2.40e-03,
202,5.60e-03,
203,-6.40e-03,
204,-6.40e-03,
205,-1.60e-03,
206,-1.36e-02,
207,-3.20e-03,
208,-3.20e-03,
209,-8.80e-03,
210,-1.36e-02,
211,-2.40e-03,
212,-2.40e-03,
213,-5.60e-03,
214,-6.40e-03,
215,-1.60e-03,
216,-2.40e-03,
217,-6.40e-03,
218,-1.60e-03,
219,-4.00e-03,
220,-8.00e-04,
221,-7.20e-03,
222,-8.00e-04,
223,-4.80e-03,
224,-6.40e-03,
225,-8.00e-04,
226,-8.00e-04,
227,-8.00e-03,
228,-3.20e-03,
229,0.00e+00,
230,8.00e-04,
231,-4.80e-03,
232,0.00e+00,
233,-4.80e-03,
234,8.00e-04,
235,-4.00e-03,
236,0.00e+00,
237,-5.60e-03,
238,0.00e+00,
239,-3.20e-03,
240,-5.60e-03,
241,0.00e+00,
242,0.00e+00,
243,-5.60e-03,
244,-3.20e-03,
245,0.00e+00,
246,1.60e-03,
